,incident_num,date_time,day_of_week,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address_dir_intersecting,address_road_intersecting,address_sfx_intersecting,call_type,disposition,beat,priority,address_number_primary_str,Address,lat,lng,zipcode,Zipcodes
23396,E23010025101,2023-01-18 17:00:02,4,1600,,06TH,AVE,,,,415,CAN,526,2,1600,"1600 06TH AVE San Diego, California",32.722117,-117.1594576,92101,92101
23397,E23010025102,2023-01-18 17:00:17,4,0,,HILLTOP,DR,,COTTON,,1149,K,445,2,,"HILLTOP DR San Diego, California",32.7150755,-117.0956908,United States,92102
23398,E23010025103,2023-01-18 17:01:35,4,0,,SPORTS ARENA,BLV,,INTERSTATE 8 EB ON RAMP,,415,K,613,2,,"SPORTS ARENA BLV San Diego, California",32.7533935,-117.2105087,United States,92110
23399,E23010025104,2023-01-18 17:01:52,4,500,S,38TH,ST,,,,HZRD,K,441,2,500,"500 S 38TH ST San Diego, California",32.7012585,-117.112516,2854,92113
23400,E23010025106,2023-01-18 17:03:51,4,0,,HANCOCK,ST,,GREENWOOD,,1151,K,611,2,,"HANCOCK ST San Diego, California",32.7530679,-117.2031677,United States,92110
23401,E23010025107,2023-01-18 17:03:57,4,900,,PARK,BLV,,,,SELENF,K,521,3,900,"900 PARK BLV San Diego, California",32.7147038,-117.1538526,6529,92101
23402,E23010025108,2023-01-18 17:06:23,4,3300,,LA JOLLA VILLAGE,DR,,,,911P,CAN,126,2,3300,"3300 LA JOLLA VILLAGE DR San Diego, California",32.8720711,-117.2321514,92161,92161
23403,E23010025109,2023-01-18 17:07:24,4,9400,,RUFFIN,CT,,,,RJ,W,313,2,9400,"9400 RUFFIN CT San Diego, California",32.8303122,-117.1226147,5300,92123
23404,E23010025110,2023-01-18 17:07:32,4,6300,,GALLEGOS,TER,,,,NARC,K,437,2,6300,"6300 GALLEGOS TER San Diego, California",32.6931439,-117.0617346,7016,92114
23405,E23010025111,2023-01-18 17:07:46,4,2800,,TORREY PINES SCENIC,DR,,,,INFO,W,126,2,2800,"2800 TORREY PINES SCENIC DR San Diego, California",32.8898676,-117.2511921,1004,92037
23406,E23010025113,2023-01-18 17:07:51,4,2100,,PAN AMERICAN,PL,,,,1185,R,531,3,2100,"2100 PAN AMERICAN PL San Diego, California",32.7288457,-117.1522113,1683,92134
23407,E23010025114,2023-01-18 17:08:03,4,5300,,FONTAINE,ST,,,,415,K,322,2,5300,"5300 FONTAINE ST San Diego, California",32.801799,-117.0780267,92120,92120
23408,E23010025115,2023-01-18 17:08:47,4,4500,,39TH,ST,,,,CW,K,811,1,4500,"4500 39TH ST San Diego, California",32.7589978,-117.1108164,4630,92116
23409,E23010025116,2023-01-18 17:08:49,4,600,,14TH,ST,,,,242,R,521,1,600,"600 14TH ST San Diego, California",32.7115738,-117.1519467,92101,92101
23410,E23010025117,2023-01-18 17:09:21,4,2900,,KURTZ,ST,,,,MPSSTP,K,611,2,2900,"2900 KURTZ ST San Diego, California",32.7518125,-117.2024091,92110,92110
23411,E23010025118,2023-01-18 17:09:31,4,4700,,PACIFIC,HWY,,,,20002R,R,625,3,4700,"4700 PACIFIC HWY San Diego, California",32.7585521,-117.2020706,92110,92110
23412,E23010025119,2023-01-18 17:10:24,4,5300,,KEARNY VILLA,RD,,,,HZRD,K,313,1,5300,"5300 KEARNY VILLA RD San Diego, California",32.8290516,-117.1421308,92123,92123
23413,E23010025121,2023-01-18 17:11:30,4,3000,,MISSION,BLV,,,,FD,K,121,2,3000,"3000 MISSION BLV San Diego, California",32.7680765,-117.2519959,92109,92109
23414,E23010025122,2023-01-18 17:12:17,4,0,,DEL SOL,BLV,,RIVIERA SUMMIT,,586,K,725,4,,"DEL SOL BLV San Diego, California",32.5735263,-117.0454362,92154,92154
23415,E23010025123,2023-01-18 17:13:14,4,0,,SIEMPRE VIVA,RD,,BRITANNIA,,10851R,R,713,2,,"SIEMPRE VIVA RD San Diego, California",32.5532764,-116.9535727,United States,92154
23416,E23010025124,2023-01-18 17:14:18,4,1300,,PARK,BLV,,,,272,W,521,3,1300,"1300 PARK BLV San Diego, California",32.7188904,-117.1538537,92101,92101
23417,E23010025125,2023-01-18 17:15:32,4,300,,PARK,BLV,,,,SELENF,K,521,3,300,"300 PARK BLV San Diego, California",32.7083803,-117.1541313,7416,92101
23418,E23010025126,2023-01-18 17:15:41,4,3300,,LA JOLLA VILLAGE,DR,,,,911,CAN,126,1,3300,"3300 LA JOLLA VILLAGE DR San Diego, California",32.8720711,-117.2321514,92161,92161
23419,E23010025127,2023-01-18 17:16:08,4,1700,,KEARNY,AVE,,,,SELENF,O,512,3,1700,"1700 KEARNY AVE San Diego, California",32.7047886,-117.1466643,92113,92113
23420,E23010025128,2023-01-18 17:16:11,4,6100,,UNIVERSITY,AVE,,,,242R,R,821,3,6100,"6100 UNIVERSITY AVE San Diego, California",32.75293190000001,-117.0644073,5719,92115
23421,E23010025130,2023-01-18 17:19:28,4,9700,,GENESEE,AVE,,,,MPSSTP,O,115,2,9700,"9700 GENESEE AVE San Diego, California",32.8799348,-117.2167078,92037,92037
23422,E23010025131,2023-01-18 17:20:09,4,8600,,HURLBUT,ST,,,,415,K,311,2,8600,"8600 HURLBUT ST San Diego, California",32.8051021,-117.1428129,2163,92123
23423,E23010025132,2023-01-18 17:20:33,4,0,,SUNSET,ST,,TAYLOR,,T,K,625,2,,"SUNSET ST San Diego, California",32.7573751,-117.1975738,92110,92110
23424,E23010025133,2023-01-18 17:21:35,4,4300,,COPELAND,AVE,,,,FU,K,825,2,4300,"4300 COPELAND AVE San Diego, California",32.7552098,-117.1039985,92105,92105
23425,E23010025134,2023-01-18 17:22:04,4,4200,,TAYLOR,ST,,,,MPSSTP,K,625,2,4200,"4200 TAYLOR ST San Diego, California",32.7583844,-117.1981813,2741,92110
23426,E23010025135,2023-01-18 17:22:20,4,0,,FRONT,ST,,HARBOR,,AU23152,CAN,522,2,,"FRONT ST San Diego, California",32.7324099,-117.1648615,United States,92103
23427,E23010025137,2023-01-18 17:24:10,4,0,,36TH,ST,,MARKET,,T,K,444,2,,"36TH ST San Diego, California",32.7532835,-117.1155332,United States,92104
23428,E23010025138,2023-01-18 17:24:15,4,0,,GENESEE,AVE,,SR-52,,HZRD,K,114,1,,"GENESEE AVE San Diego, California",32.8419881,-117.1975858,United States,92117
23429,E23010025139,2023-01-18 17:25:01,4,2900,,A,ST,,,,415,K,517,2,2900,"2900 A ST San Diego, California",32.7189944,-117.1320385,1704,92102
23430,E23010025141,2023-01-18 17:25:09,4,5900,,UNIVERSITY,AVE,,,,HZRD,K,823,1,5900,"5900 UNIVERSITY AVE San Diego, California",32.750251,-117.070386,92115,92115
23431,E23010025142,2023-01-18 17:25:51,4,7200,,JACMAR,AVE,,,,1021,K,436,3,7200,"7200 JACMAR AVE San Diego, California",32.7093142,-117.0427029,4641,92114
23432,E23010025143,2023-01-18 17:27:02,4,0,,07TH,AVE,,MARKET,,415V,K,524,1,,"07TH AVE San Diego, California",32.7156744,-117.1583393,92101,92101
23433,E23010025145,2023-01-18 17:30:53,4,6200,,BOUGAINVILLE,RD,,,,1151,K,438,2,6200,"6200 BOUGAINVILLE RD San Diego, California",32.6859647,-117.0567029,92139,92139
23434,E23010025146,2023-01-18 17:31:01,4,0,,TORREY PINES,RD,,POTTERY PARK DRWY,,CW,K,124,1,,"TORREY PINES RD San Diego, California",32.8505157,-117.2550565,92037,02037
23435,E23010025147,2023-01-18 17:31:41,4,3100,,EL CAJON,BLV,,,,245-SUSP,A,813,1,3100,"3100 EL CAJON BLV San Diego, California",32.7554086,-117.127708,92104,92104
23436,E23010025149,2023-01-18 17:33:33,4,4800,,GENESEE,AVE,,,,T,CAN,114,2,4800,"4800 GENESEE AVE San Diego, California",32.8319142,-117.1948625,2929,92117
23437,E23010025150,2023-01-18 17:33:48,4,0,,MISSION,BLV,,PACIFIC BEACH,,AU23152,W,121,2,,"MISSION BLV San Diego, California",32.7843982,-117.2528516,92109,92109
23438,E23010025151,2023-01-18 17:33:59,4,3900,,MARLBOROUGH,AVE,,,,FU,K,834,2,3900,"3900 MARLBOROUGH AVE San Diego, California",32.7488854,-117.105988,2523,92105
