"incident_num","date_time","day_of_week","address_number_primary","address_dir_primary","address_road_primary","address_sfx_primary","address_dir_intersecting","address_road_intersecting","address_sfx_intersecting","call_type","disposition","beat","priority"
"E23010000001","2023-01-01 00:00:05","1","0","","05TH","AVE","","G","","FD","CAN","523","2"
"E23010000002","2023-01-01 00:00:30","1","0","","SHOPS INFO LOG","","","","","SHOPS","W","-1","4"
"E23010000003","2023-01-01 00:00:57","1","0","","05TH","AVE","","G","","FD","DUP","523","2"
"E23010000004","2023-01-01 00:01:15","1","600","","FERGUS","ST","","","","AU1","K","433","1"
"E23010000005","2023-01-01 00:02:17","1","0","","CHP INFO LOG","","","","","INFOCHP","W","-1","4"
"E23010000006","2023-01-01 00:02:41","1","200","S","FRANCIS","ST","","","","AU1","K","441","1"
"E23010000007","2023-01-01 00:04:06","1","5700","","STREAMVIEW","DR","","","","AU1","DUP","823","1"
"E23010000008","2023-01-01 00:04:21","1","0","","INFO LOG","","","","","503CAR","W","-1","2"
"E23010000009","2023-01-01 00:04:28","1","7300","","CALLE CRISTOBAL","","","","","AU1","K","242","1"
"E23010000010","2023-01-01 00:05:00","1","6900","","PASEO LAREDO","","","","","459A","K","124","2"
"E23010000011","2023-01-01 00:05:05","1","4800","","BEECH","ST","","","","AU1","DUP","447","1"
"E23010000012","2023-01-01 00:05:30","1","5100","","BAY CREST","LN","","","","AU1","W","713","1"
"E23010000013","2023-01-01 00:06:14","1","1900","","47TH","ST","","","","FIREHZRD","CAN","447","2"
"E23010000014","2023-01-01 00:06:35","1","4900","","DAFTER","DR","","","","AU1","DUP","447","1"
"E23010000015","2023-01-01 00:07:16","1","1000","S","30TH","ST","","","","1147","R","512","0"
"E23010000016","2023-01-01 00:08:06","1","400","","05TH","AVE","","","","415","CAN","523","2"
"E23010000017","2023-01-01 00:08:17","1","2000","","BURTON","ST","","","","AU1","W","621","1"
"E23010000018","2023-01-01 00:08:27","1","4900","","BEAUCHAMP","CT","","","","459A","K","934","2"
"E23010000019","2023-01-01 00:09:22","1","7700","","HUNTHAVEN","RD","","","","AU1","DUP","436","1"
"E23010000020","2023-01-01 00:09:29","1","3000","","HIRES","WAY","","","","459A","U","712","2"
"E23010000022","2023-01-01 00:10:46","1","0","","36TH","ST","","UNIVERSITY","","AU1","DUP","838","1"
"E23010000024","2023-01-01 00:11:08","1","10900","","PARKDALE","AVE","","","","459A","K","242","2"
"E23010000025","2023-01-01 00:12:33","1","4600","","RANCHO SIERRA BEND","","","","","459A","K","935","2"
"E23010000026","2023-01-01 00:13:14","1","3500","","COLLEGE","AVE","","","","11-6","A","841","1"
"E23010000027","2023-01-01 00:13:30","1","1400","","ESSEX","ST","","","","10851E","K","627","3"
"E23010000028","2023-01-01 00:14:02","1","5300","","ORANGE","AVE","","","","AU1","DUP","826","1"
"E23010000029","2023-01-01 00:14:06","1","14900","","JAY TEE","CT","","","","FIREHZRD","W","937","2"
"E23010000030","2023-01-01 00:14:29","1","8200","","RONSON","RD","","","","1147","K","313","0"
"E23010000031","2023-01-01 00:15:03","1","7600","","BROOKHAVEN","RD","","","","FIREHZRD","CAN","437","2"
"E23010000032","2023-01-01 00:16:35","1","7900","","CIVITA","BLV","","","","459A","K","311","2"
"E23010000033","2023-01-01 00:16:55","1","5300","","ADOBE FALLS","RD","","","","10852C","K","323","2"
"E23010000034","2023-01-01 00:18:05","1","600","","BROADWAY","","","","","242R","K","524","3"
"E23010000036","2023-01-01 00:19:03","1","1800","","CLOVE","ST","","","","1131","A","613","1"
"E23010000037","2023-01-01 00:19:57","1","300","S","30TH","ST","","","","415","K","512","2"
"E23010000038","2023-01-01 00:20:00","1","0","","VAN DYKE","AVE","","DWIGHT","","FIREHZRD","K","834","2"
"E23010000039","2023-01-01 00:21:11","1","9800","","CAMINITO CUADRO","","","","","AU1","K","233","1"
"E23010000040","2023-01-01 00:21:36","1","400","","06TH","AVE","","","","242","CAN","523","1"
"E23010000041","2023-01-01 00:21:49","1","7900","","TOPAZ LAKE","AVE","","","","459A","K","324","2"
"E23010000043","2023-01-01 00:22:09","1","6300","","BUDLONG LAKE","AVE","","","","415","K","324","2"
"E23010000044","2023-01-01 00:22:13","1","14800","","PRISCILLA","ST","","","","459HP","K","233","0"
"E23010000045","2023-01-01 00:22:26","1","2500","","PALM (SB)","AVE","","","","415V","K","724","1"
"E23010000046","2023-01-01 00:24:49","1","8300","","CLAIREMONT MESA","BLV","","","","459A","K","313","3"
"E23010000047","2023-01-01 00:25:25","1","600","S","30TH","ST","","","","1171","K","512","1"
"E23010000048","2023-01-01 00:26:02","1","400","","06TH","AVE","","","","647F","A","523","2"
"E23010000050","2023-01-01 00:27:18","1","8500","","STATION VILLAGE","LN","","","","602","K","315","2"
"E23010000051","2023-01-01 00:27:38","1","9100","","MIRAMAR","RD","","","","459A","CAN","243","3"
"E23010000052","2023-01-01 00:28:51","1","4100","","44TH","ST","","","","415V","K","831","1"
