,incident_num,date_time,day_of_week,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address_dir_intersecting,address_road_intersecting,address_sfx_intersecting,call_type,disposition,beat,priority,address_number_primary_str,Address
25350,E23010027167,2023-01-20 00:32:24,6,1600,,CAMINO DEL RIO NORTH,,,,,415,R,315,2,1600,"1600 CAMINO DEL RIO NORTH San Diego, California"
25351,E23010027168,2023-01-20 00:32:30,6,5200,,GROVELAND,DR,,,,RJ,CAN,432,2,5200,"5200 GROVELAND DR San Diego, California"
25352,E23010027169,2023-01-20 00:32:39,6,6900,,LINDA VISTA,RD,,,,T,O,621,2,6900,"6900 LINDA VISTA RD San Diego, California"
25353,E23010027170,2023-01-20 00:33:36,6,900,,10TH,AVE,,,,1149,K,524,2,900,"900 10TH AVE San Diego, California"
25354,E23010027171,2023-01-20 00:34:16,6,4000,,05TH,AVE,,,,INFO,W,627,2,4000,"4000 05TH AVE San Diego, California"
25355,E23010027172,2023-01-20 00:35:09,6,4200,,CLAIREMONT MESA,BLV,,,,1151,K,114,2,4200,"4200 CLAIREMONT MESA BLV San Diego, California"
25356,E23010027173,2023-01-20 00:35:56,6,2500,,L,ST,,,,CCCC,W,515,4,2500,"2500 L ST San Diego, California"
25357,E23010027174,2023-01-20 00:38:30,6,4400,,TAYLOR,ST,,,,T,O,623,2,4400,"4400 TAYLOR ST San Diego, California"
25358,E23010027175,2023-01-20 00:38:52,6,4200,,MYRTLE,AVE,,,,459A,K,834,2,4200,"4200 MYRTLE AVE San Diego, California"
25359,E23010027176,2023-01-20 00:39:52,6,10000,,SANTANA RANCH,LN,,,,AU10851,W,-1,2,10000,"10000 SANTANA RANCH LN San Diego, California"
25360,E23010027177,2023-01-20 00:41:02,6,2300,,CARMEL VALLEY,RD,,,,1150,K,933,2,2300,"2300 CARMEL VALLEY RD San Diego, California"
25361,E23010027178,2023-01-20 00:41:52,6,700,,05TH,AVE,,,,FD,K,523,2,700,"700 05TH AVE San Diego, California"
25362,E23010027179,2023-01-20 00:43:42,6,4600,,WIGHTMAN,ST,,,,MS,R,833,1,4600,"4600 WIGHTMAN ST San Diego, California"
25363,E23010027180,2023-01-20 00:46:52,6,3600,,ROSECRANS,ST,,,,415,CAN,611,2,3600,"3600 ROSECRANS ST San Diego, California"
25364,E23010027181,2023-01-20 00:47:02,6,6800,,MALLARD,ST,,,,MPSSTP,K,435,2,6800,"6800 MALLARD ST San Diego, California"
25365,E23010027182,2023-01-20 00:48:13,6,2100,,SAIPAN,DR,,,,1171,K,438,1,2100,"2100 SAIPAN DR San Diego, California"
25366,E23010027183,2023-01-20 00:48:13,6,0,,SORRENTO VALLEY,BLV,,SORRENTO VALLEY,,11-8,K,931,0,,"SORRENTO VALLEY BLV San Diego, California"
25367,E23010027184,2023-01-20 00:48:49,6,5800,,SALACOT,CT,,,,MS,K,312,1,5800,"5800 SALACOT CT San Diego, California"
25368,E23010027185,2023-01-20 00:49:36,6,15200,,AVENUE OF SCIENCE,,,,,1153,K,232,2,15200,"15200 AVENUE OF SCIENCE San Diego, California"
25369,E23010027186,2023-01-20 00:51:27,6,8800,,VIA ANDAR,,,,,PARTY,K,115,3,8800,"8800 VIA ANDAR San Diego, California"
25370,E23010027187,2023-01-20 00:56:01,6,3400,,CASTLE GLEN,DR,,,,415N,CAN,311,3,3400,"3400 CASTLE GLEN DR San Diego, California"
25371,E23010027188,2023-01-20 00:57:37,6,0,,MONTEZUMA,RD,,EAST FALLS VIEW,,CW,K,327,1,,"MONTEZUMA RD San Diego, California"
25372,E23010027189,2023-01-20 01:00:33,6,5200,,GAINES,ST,,,,1186,CAN,622,3,5200,"5200 GAINES ST San Diego, California"
25373,E23010027190,2023-01-20 01:01:48,6,2400,,HOTEL CIRCLE NORTH,,,,,T,O,623,2,2400,"2400 HOTEL CIRCLE NORTH San Diego, California"
25374,E23010027191,2023-01-20 01:01:57,6,0,,CAMPANILE,DR,,MONTEZUMA,,CW,K,326,1,,"CAMPANILE DR San Diego, California"
25375,E23010027192,2023-01-20 01:02:32,6,13300,,SALMON RIVER,RD,,,,MTG,O,233,4,13300,"13300 SALMON RIVER RD San Diego, California"
25376,E23010027193,2023-01-20 01:02:43,6,2900,,ZOO,DR,,,,AU2,W,531,2,2900,"2900 ZOO DR San Diego, California"
25377,E23010027195,2023-01-20 01:11:28,6,3500,,54TH,ST,,,,1016,A,451,2,3500,"3500 54TH ST San Diego, California"
25378,E23010027196,2023-01-20 01:12:16,6,0,,INTERSTATE 15 NB,,,,,MPSSTP,K,-1,2,,"INTERSTATE 15 NB San Diego, California"
25379,E23010027197,2023-01-20 01:12:52,6,400,,47TH,ST,,,,T,CAN,445,2,400,"400 47TH ST San Diego, California"
25380,E23010027198,2023-01-20 01:13:18,6,900,,G,ST,,,,CW,K,521,1,900,"900 G ST San Diego, California"
25381,E23010027199,2023-01-20 01:14:17,6,2600,,MISSION,BLV,,,,MPSSTP,R,121,2,2600,"2600 MISSION BLV San Diego, California"
25382,E23010027200,2023-01-20 01:15:14,6,8300,,MIRA MESA,BLV,,,,HZRD,K,242,1,8300,"8300 MIRA MESA BLV San Diego, California"
25383,E23010027201,2023-01-20 01:16:17,6,600,,EL PRADO,,,,,SELENF,K,531,3,600,"600 EL PRADO San Diego, California"
25384,E23010027202,2023-01-20 01:16:38,6,4300,,OCEAN,BLV,,,,SELENF,K,122,3,4300,"4300 OCEAN BLV San Diego, California"
25385,E23010027203,2023-01-20 01:17:17,6,0,,GARNET,AVE,,BAYARD,,10851R,K,122,2,,"GARNET AVE San Diego, California"
25386,E23010027205,2023-01-20 01:21:07,6,3000,,CORONADO (SB),AVE,,,,SELENF,K,723,3,3000,"3000 CORONADO (SB) AVE San Diego, California"
25387,E23010027206,2023-01-20 01:22:17,6,4600,,AIR,WAY,,,,911,K,447,1,4600,"4600 AIR WAY San Diego, California"
25388,E23010027207,2023-01-20 01:22:40,6,4800,,CATOCTIN,DR,,,,459C,K,327,2,4800,"4800 CATOCTIN DR San Diego, California"
25389,E23010027208,2023-01-20 01:23:57,6,2800,,CARMEL VALLEY,RD,,,,T,K,932,2,2800,"2800 CARMEL VALLEY RD San Diego, California"
25390,E23010027209,2023-01-20 01:24:02,6,4800,,LOGAN,AVE,,,,415V,R,446,1,4800,"4800 LOGAN AVE San Diego, California"
25391,E23010027210,2023-01-20 01:24:04,6,9100,,JUDICIAL,DR,,,,602,A,115,2,9100,"9100 JUDICIAL DR San Diego, California"
25392,E23010027211,2023-01-20 01:25:23,6,3700,,AREY,DR,,,,SELENF,K,723,3,3700,"3700 AREY DR San Diego, California"
25393,E23010027212,2023-01-20 01:27:32,6,8300,,GILMAN,DR,,,,11-7,K,124,1,8300,"8300 GILMAN DR San Diego, California"
25394,E23010027213,2023-01-20 01:30:15,6,900,,F,ST,,,,415N,CAN,521,3,900,"900 F ST San Diego, California"
