,incident_num,lat,lng
0,E18010000001,32.759030,-117.116806
1,E18010000002,32.692819,-117.129957
2,E18010000003,32.793443,-117.255729
3,E18010000004,32.712896,-117.097859
4,E18010000005,32.731232,-117.161241
5,E18010000006,32.694946,-117.125335
6,E18010000007,32.709656,-117.161165
7,E18010000008,32.719003,-117.035882
8,E18010000009,32.713692,-117.100366
9,E18010000010,32.807547,-117.078546
10,E18010000011,32.701386,-117.114496
11,E18010000012,32.731232,-117.161241
12,E18010000013,32.711824,-117.026919
13,E18010000014,32.698902,-117.071587
14,E18010000015,32.715738,-117.161084
15,E18010000016,32.714955,-117.160778
16,E18010000017,32.709365,-117.062362
17,E18010000018,32.696292,-117.077981
18,E18010000019,32.713161,-117.062553
19,E18010000020,32.725499,-117.093603
20,E18010000021,32.717860,-117.094950
21,E18010000022,32.793521,-117.079012
22,E18010000023,32.839954,-117.128477
23,E18010000024,32.719897,-117.091877
24,E18010000025,32.700447,-117.122605
25,E18010000026,32.808219,-117.186002
26,E18010000027,32.736226,-117.105741
27,E18010000028,32.919309,-117.130825
28,E18010000029,32.698381,-117.133811
29,E18010000030,32.703499,-117.120072
30,E18010000031,32.749661,-117.104474
31,E18010000032,32.830180,-117.262856
32,E18010000033,32.920806,-117.138714
33,E18010000034,32.697088,-117.112466
34,E18010000035,32.694946,-117.125335
35,E18010000036,32.928057,-117.065711
36,E18010000037,32.728614,-117.129567
37,E18010000038,32.702423,-117.137797
38,E18010000039,32.565977,-117.032761
39,E18010000040,32.793680,-117.254593
40,E18010000041,32.698053,-117.114610
41,E18010000042,32.712381,-117.092027
42,E18010000043,32.711028,-117.151905
43,E18010000044,32.726030,-117.063322
44,E18010000045,32.753684,-117.080981
45,E18010000046,32.793443,-117.255729
46,E18010000047,32.672317,-117.061537
47,E18010000048,32.703896,-117.141927
48,E18010000049,32.572164,-117.056050
49,E18010000050,32.710490,-117.057997
50,E18010000051,32.755842,-117.091146
51,E18010000052,32.712621,-117.109989
52,E18010000053,32.710600,-117.160410
53,E18010000054,32.797069,-117.253590
54,E18010000055,32.738255,-117.229709
55,E18010000056,32.736707,-117.123093
56,E18010000057,32.712157,-117.091839
57,E18010000058,32.742238,-117.086417
58,E18010000059,32.791224,-117.196285
59,E18010000060,32.745345,-117.153461
60,E18010000061,32.965329,-117.090302
61,E18010000062,32.712763,-117.160160
62,E18010000063,32.793443,-117.255729
63,E18010000064,32.930196,-117.148960
64,E18010000065,32.712763,-117.160160
65,E18010000066,32.566434,-117.025922
66,E18010000067,32.797378,-117.255992
67,E18010000068,32.723158,-117.228900
68,E18010000069,32.744824,-117.155193
69,E18010000070,32.702746,-117.047493
70,E18010000071,32.818821,-117.266812
71,E18010000072,32.712763,-117.160160
72,E18010000073,32.810939,-117.010047
73,E18010000074,32.747387,-117.157201
74,E18010000075,32.798926,-117.235260
75,E18010000076,32.747356,-117.130996
76,E18010000077,32.753300,-117.116782
77,E18010000079,32.726631,-117.115476
78,E18010000080,32.712604,-117.155599
79,E18010000081,32.586570,-117.028069
80,E18010000082,32.766356,-117.148850
81,E18010000083,32.766356,-117.148850
82,E18010000084,32.695981,-117.125343
83,E18010000085,32.764014,-117.130334
84,E18010000086,32.729325,-117.170728
85,E18010000087,32.960209,-117.165340
86,E18010000088,32.775785,-117.153947
87,E18010000089,32.803907,-117.055552
88,E18010000090,32.763255,-117.107348
89,E18010000091,32.747888,-117.116838
90,E18010000092,32.709531,-117.130200
91,E18010000093,32.871718,-117.201691
92,E18010000094,32.743470,-117.248689
93,E18010000095,32.716493,-117.168661
94,E18010000096,32.755142,-117.179961
95,E18010000097,32.759120,-117.143802
96,E18010000098,32.734090,-117.113276
97,E18010000099,32.834466,-117.280881
98,E18010000100,32.755613,-117.131263
99,E18010000101,32.572669,-117.022669
100,E18010000102,32.925301,-117.101830
101,E18010000103,32.796871,-117.255308
102,E18010000104,32.749983,-117.160899
103,E18010000105,32.792464,-117.191414
104,E18010000106,32.795268,-117.175563
105,E18010000107,32.838558,-116.973862
106,E18010000108,32.797728,-117.251699
107,E18010000110,32.728453,-117.160620
108,E18010000111,32.796460,-117.062762
109,E18010000112,32.706868,-117.094188
110,E18010000113,32.571511,-117.063543
111,E18010000114,32.704336,-117.083339
112,E18010000115,32.801114,-117.234831
113,E18010000116,32.734427,-117.104218
114,E18010000118,32.746460,-117.100940
115,E18010000119,32.715765,-117.150398
116,E18010000120,32.774750,-117.153867
117,E18010000121,32.784398,-117.252852
118,E18010000122,32.685367,-117.082074
119,E18010000123,32.744517,-117.085986
120,E18010000124,32.784398,-117.252852
121,E18010000126,32.797759,-117.250005
122,E18010000127,32.712763,-117.160160
123,E18010000128,32.747198,-117.160712
124,E18010000129,32.725015,-117.195628
125,E18010000130,32.744077,-117.181685
126,E18010000131,32.747749,-117.101126
127,E18010000132,32.703577,-117.113614
128,E18010000133,32.760563,-117.120678
129,E18010000135,32.798730,-117.246275
130,E18010000136,32.797759,-117.250005
131,E18010000137,32.909511,-117.159492
132,E18010000138,32.713740,-117.160284
133,E18010000139,32.733664,-117.160485
134,E18010000141,32.707028,-117.154899
135,E18010000142,32.706559,-117.151523
136,E18010000143,32.715824,-117.160285
137,E18010000144,32.833012,-117.200837
138,E18010000146,32.750225,-117.248171
139,E18010000147,32.907060,-117.167207
140,E18010000148,32.560877,-117.052088
141,E18010000149,32.731261,-117.107533
142,E18010000151,32.565976,-117.066729
143,E18010000152,32.710756,-117.161300
144,E18010000153,32.580291,-117.009428
145,E18010000154,32.903381,-117.121827
146,E18010000156,32.948105,-117.211704
147,E18010000157,32.842090,-117.274487
148,E18010000158,32.559505,-117.065849
149,E18010000159,32.714955,-117.160778
150,E18010000160,32.743967,-117.192259
151,E18010000161,32.743904,-117.058384
152,E18010000162,32.748706,-117.197389
153,E18010000163,32.849830,-117.259306
154,E18010000164,32.797378,-117.255992
155,E18010000165,32.713867,-117.158920
156,E18010000166,32.565976,-117.066729
157,E18010000167,32.722365,-117.160212
158,E18010000168,32.712763,-117.160160
159,E18010000169,32.575093,-117.021696
160,E18010000170,32.792845,-117.204022
161,E18010000171,32.707586,-117.160287
162,E18010000173,32.715740,-117.160168
163,E18010000174,32.725394,-117.169022
164,E18010000175,32.709558,-117.159488
165,E18010000176,32.755249,-117.105042
166,E18010000177,32.797935,-117.191818
167,E18010000178,32.753284,-117.115533
168,E18010000179,32.713613,-117.161063
169,E18010000180,32.712396,-117.238049
170,E18010000181,32.707586,-117.160287
171,E18010000182,32.822590,-117.150955
172,E18010000183,32.787771,-117.234596
173,E18010000184,32.812543,-117.010471
174,E18010000185,32.704333,-117.123921
175,E18010000186,32.921158,-117.065533
176,E18010000187,32.569170,-117.084042
177,E18010000188,32.704380,-117.093381
178,E18010000189,32.709656,-117.161165
179,E18010000190,32.871757,-117.204550
180,E18010000191,32.769769,-117.076270
181,E18010000192,32.794497,-117.256047
182,E18010000193,32.565976,-117.066729
183,E18010000195,32.800708,-117.231319
184,E18010000196,32.753163,-117.096543
185,E18010000197,32.807136,-117.182398
186,E18010000198,32.559187,-117.052758
187,E18010000199,32.718836,-117.161090
188,E18010000200,32.797728,-117.251699
189,E18010000201,32.713776,-117.159969
190,E18010000202,32.705922,-117.085075
191,E18010000203,32.925301,-117.101830
192,E18010000204,32.714816,-117.160416
193,E18010000205,32.712763,-117.160160
194,E18010000206,32.749773,-117.103393
195,E18010000207,32.809844,-117.129380
196,E18010000208,32.834645,-116.751145
197,E18010000209,32.744409,-117.061098
198,E18010000210,32.731392,-117.160285
199,E18010000212,32.749731,-117.106968
200,E18010000213,32.716177,-117.156539
